"date","serial_number","model","capacity_bytes","failure","smart_1_normalized","smart_1_raw","smart_2_normalized","smart_2_raw","smart_3_normalized","smart_3_raw","smart_4_normalized","smart_4_raw","smart_5_normalized","smart_5_raw","smart_7_normalized","smart_7_raw","smart_8_normalized","smart_8_raw","smart_9_normalized","smart_9_raw","smart_10_normalized","smart_10_raw","smart_11_normalized","smart_11_raw","smart_12_normalized","smart_12_raw","smart_13_normalized","smart_13_raw","smart_15_normalized","smart_15_raw","smart_22_normalized","smart_22_raw","smart_183_normalized","smart_183_raw","smart_184_normalized","smart_184_raw","smart_187_normalized","smart_187_raw","smart_188_normalized","smart_188_raw","smart_189_normalized","smart_189_raw","smart_190_normalized","smart_190_raw","smart_191_normalized","smart_191_raw","smart_192_normalized","smart_192_raw","smart_193_normalized","smart_193_raw","smart_194_normalized","smart_194_raw","smart_195_normalized","smart_195_raw","smart_196_normalized","smart_196_raw","smart_197_normalized","smart_197_raw","smart_198_normalized","smart_198_raw","smart_199_normalized","smart_199_raw","smart_200_normalized","smart_200_raw","smart_201_normalized","smart_201_raw","smart_220_normalized","smart_220_raw","smart_222_normalized","smart_222_raw","smart_223_normalized","smart_223_raw","smart_224_normalized","smart_224_raw","smart_225_normalized","smart_225_raw","smart_226_normalized","smart_226_raw","smart_240_normalized","smart_240_raw","smart_241_normalized","smart_241_raw","smart_242_normalized","smart_242_raw","smart_250_normalized","smart_250_raw","smart_251_normalized","smart_251_raw","smart_252_normalized","smart_252_raw","smart_254_normalized","smart_254_raw","smart_255_normalized","smart_255_raw"
"2016-01-01","MJ0351YNG9Z0XA","Hitachi HDS5C3030ALA630",1.48248990956645e-311,0,100,0,135,108,143,540,100,14,100,0,100,0,122,37,97,27929,100,0,NA,NA,100,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,100,216,100,216,253,20,NA,NA,100,0,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","Z305B2QN","ST4000DM000",1.97665142785814e-311,0,113,54551400,NA,NA,96,0,100,4,100,0,63,1.279799981311e-317,NA,NA,100,411,100,0,NA,NA,100,4,NA,NA,NA,NA,NA,NA,100,0,100,0,100,0,100,0,100,0,70,30,100,0,100,0,92,16090,30,30,NA,NA,NA,NA,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1.31915527439613e-321,100,3.46796301192486e-315,100,1.31688162381922e-315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","MJ0351YNG9Z7LA","Hitachi HDS5C3030ALA630",1.48248990956645e-311,0,100,0,136,104,124,566,100,19,100,0,100,0,122,37,97,27492,100,0,NA,NA,100,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,100,213,100,213,250,24,NA,NA,100,0,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","MJ0351YNGABYAA","Hitachi HDS5C3030ALA630",1.48248990956645e-311,0,100,0,136,104,137,507,100,15,100,0,100,0,122,37,97,26640,100,0,NA,NA,100,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,100,241,100,241,193,31,NA,NA,100,0,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","WD-WMC4N2899475","WDC WD30EFRX",1.48248990956645e-311,0,200,0,NA,NA,175,6250,100,10,200,0,100,0,NA,NA,84,12198,100,0,100,0,100,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,200,3,200,361,121,29,NA,NA,200,0,200,0,100,0,200,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","PL1321LAG34XWH","Hitachi HDS5C4040ALE630",1.97665142785814e-311,0,100,0,134,101,131,514,100,29,100,0,100,0,113,42,97,24589,100,0,NA,NA,100,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,100,40,100,40,222,27,NA,NA,100,0,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","MJ1323YNG1TJ7C","Hitachi HDS5C3030ALA630",1.48248990956645e-311,0,100,0,100,0,122,575,100,16,100,0,100,0,100,0,95,37396,100,0,NA,NA,100,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,99,1370,99,1370,253,22,NA,NA,100,0,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","S300Z6K9","ST4000DM000",1.97665142785814e-311,0,107,13985080,NA,NA,97,0,100,3,100,0,83,1.01727805217356e-315,NA,NA,94,5506,100,0,NA,NA,100,3,NA,NA,NA,NA,NA,NA,100,0,100,0,100,0,100,0,100,0,74,26,100,0,100,0,85,31005,26,26,NA,NA,NA,NA,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,2.65609691204254e-320,100,1.12366241523352e-313,100,1.76105911804652e-314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","S300Z6K8","ST4000DM000",1.97665142785814e-311,0,116,109242152,NA,NA,97,0,100,3,100,0,81,7.2665567500719e-316,NA,NA,96,4016,100,0,NA,NA,100,3,NA,NA,NA,NA,NA,NA,100,0,100,0,100,0,100,0,100,0,73,27,100,0,100,0,81,38958,27,27,NA,NA,NA,NA,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1.83001915219598e-320,100,9.02905767370719e-314,100,2.55173237975679e-314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01","Z302PGH8","ST4000DM000",1.97665142785814e-311,0,112,46112000,NA,NA,92,0,100,16,100,0,84,1.48820343685927e-315,NA,NA,95,5130,100,0,NA,NA,100,16,NA,NA,NA,NA,NA,NA,100,0,100,0,100,0,100,0,100,0,80,20,100,0,100,2,100,203,20,20,NA,NA,NA,NA,100,0,100,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,2.53356863187391e-320,100,5.85610546934157e-314,100,2.35692196482463e-313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
